"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","Linux On Demand cost","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"T3A Nano","t3a.nano","0.5 GiB","2 vCPUs for a 1h 12m burst","EBS only","Up to 5 Gigabit","$0.0047 hourly","$0.0029 hourly","$0.001700 hourly","$0.0093 hourly","$0.0075 hourly"
"T3 Nano","t3.nano","0.5 GiB","2 vCPUs for a 1h 12m burst","EBS only","Up to 5 Gigabit","$0.0052 hourly","$0.0033 hourly","$0.001600 hourly","$0.0098 hourly","$0.0079 hourly"
"T3 Micro","t3.micro","1.0 GiB","2 vCPUs for a 2h 24m burst","EBS only","Up to 5 Gigabit","$0.0104 hourly","$0.0065 hourly","$0.003100 hourly","$0.0196 hourly","$0.0157 hourly"
"T3A Micro","t3a.micro","1.0 GiB","2 vCPUs for a 2h 24m burst","EBS only","Up to 5 Gigabit","$0.0094 hourly","$0.0059 hourly","$0.002800 hourly","$0.0186 hourly","$0.0151 hourly"
"T3A Small","t3a.small","2.0 GiB","2 vCPUs for a 4h 48m burst","EBS only","Up to 5 Gigabit","$0.0188 hourly","$0.0118 hourly","$0.007100 hourly","$0.0372 hourly","$0.0302 hourly"
"T3 Small","t3.small","2.0 GiB","2 vCPUs for a 4h 48m burst","EBS only","Up to 5 Gigabit","$0.0208 hourly","$0.013 hourly","$0.006200 hourly","$0.0392 hourly","$0.0314 hourly"
"T3 Medium","t3.medium","4.0 GiB","2 vCPUs for a 4h 48m burst","EBS only","Up to 5 Gigabit","$0.0416 hourly","$0.0261 hourly","$0.012500 hourly","$0.06 hourly","$0.0445 hourly"
"T3A Medium","t3a.medium","4.0 GiB","2 vCPUs for a 4h 48m burst","EBS only","Up to 5 Gigabit","$0.0376 hourly","$0.0236 hourly","$0.011900 hourly","$0.056 hourly","$0.042 hourly"
"T3 Large","t3.large","8.0 GiB","2 vCPUs for a 7h 12m burst","EBS only","Up to 5 Gigabit","$0.0832 hourly","$0.0522 hourly","$0.026700 hourly","$0.1108 hourly","$0.0798 hourly"
"T3A Large","t3a.large","8.0 GiB","2 vCPUs for a 7h 12m burst","EBS only","Up to 5 Gigabit","$0.0752 hourly","$0.0471 hourly","$0.025700 hourly","$0.1028 hourly","$0.0747 hourly"
"T3 Extra Large","t3.xlarge","16.0 GiB","4 vCPUs for a 9h 36m burst","EBS only","Up to 5 Gigabit","$0.1664 hourly","$0.1043 hourly","$0.049900 hourly","$0.24 hourly","$0.1779 hourly"
"T3A Extra Large","t3a.xlarge","16.0 GiB","4 vCPUs for a 9h 36m burst","EBS only","Up to 5 Gigabit","$0.1504 hourly","$0.0943 hourly","$0.047000 hourly","$0.224 hourly","$0.1679 hourly"
"T3 Double Extra Large","t3.2xlarge","32.0 GiB","8 vCPUs for a 9h 36m burst","EBS only","Up to 5 Gigabit","$0.3328 hourly","$0.2086 hourly","$0.099800 hourly","$0.48 hourly","$0.3558 hourly"
"T3A Double Extra Large","t3a.2xlarge","32.0 GiB","8 vCPUs for a 9h 36m burst","EBS only","Up to 5 Gigabit","$0.3008 hourly","$0.1886 hourly","$0.090200 hourly","$0.448 hourly","$0.3358 hourly"
